salvage pathways of pyrimidine ribonucleotides	uridine nucleosidase	3.2.2.3	URH1	PMID:10501935|PMID:12111094
superpathway of glucose fermentation	allyl-alcohol dehydrogenase	1.1.1.54	ADH1	PMID:6985717
2-oxoglutarate decarboxylation to succinyl-CoA	dihydrolipoyllysine-residue succinyltransferase	2.3.1.61	KGD2	PMID:2072900
glycogen biosynthesis	UTP--glucose-1-phosphate uridylyltransferase	2.7.7.9	UGP1	PMID:11152943
glycolysis I (from glucose 6-phosphate)	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	TDH3	
superpathway of TCA cycle and glyoxylate cycle	citrate (Si)-synthase	2.3.3.1	CIT3	PMID:12455685|PMID:20889721|PMID:23966945|PMID:1551398|PMID:1454530
superpathway of tetrahydrofolate biosynthesis and salvage	dihydrofolate synthase	6.3.2.12	FOL3	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
L-arginine biosynthesis II (acetyl cycle)	acetylornithine transaminase	2.6.1.11	ARG8	PMID:12603335|PMID:11553611|PMID:205532
mevalonate pathway I	isopentenyl-diphosphate Delta-isomerase	5.3.3.2	IDI1	
superpathway of NAD biosynthesis	purine-nucleoside phosphorylase	2.4.2.1	PNP1	PMID:15137942
folate interconversions	dihydrofolate reductase	1.5.1.3	DFR1	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
NAD salvage pathway V (PNC V cycle)	nicotinamidase	3.5.1.19	PNC1	PMID:11884393
superpathway of heme and siroheme biosynthesis	uroporphyrinogen decarboxylase	4.1.1.37	HEM12	PMID:2077690|PMID:10051442|PMID:11212295
superpathway of histidine, purine, and pyrimidine biosynthesis	guanylate kinase	2.7.4.8	GUK1	
L-alanine degradation III	alanine transaminase	2.6.1.2	ALT1	
superpathway of ubiquinone biosynthesis	3-demethoxyubiquinol 3-hydroxylase	1.14.99.60	CAT5	PMID:17482885|PMID:27060254|PMID:19531029|PMID:20592037|PMID:27693056
superpathway of glucose fermentation	phosphopyruvate hydratase	4.2.1.11	ENO2	PMID:6985717
superpathway of aromatic amino acid biosynthesis	chorismate synthase	4.2.3.5	ARO2	
phosphatidate biosynthesis I (the dihydroxyacetone pathway)	triacylglycerol lipase	3.1.1.3	AYR1	PMID:9401016|PMID:10617610|PMID:16916618|PMID:24520995|PMID:17726007|PMID:22090344|PMID:10542045
ergosterol biosynthesis	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	1.1.1.170	ERG26	PMID:8561481|PMID:8552601|PMID:12119386
superpathway of glucose fermentation	triose-phosphate isomerase	5.3.1.1	TPI1	PMID:6985717
UDP-N-acetylglucosamine biosynthesis	phosphoacetylglucosamine mutase	5.4.2.3	PCM1	PMID:2656689|PMID:9867860|PMID:8174553|PMID:9603950|PMID:16408321|PMID:23135325
superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	assimilatory sulfite reductase (NADPH)	1.8.1.2	MET10	PMID:9409150
superpathway of ergosterol biosynthesis I	mevalonate kinase	2.7.1.36	ERG12	PMID:8561481|PMID:8552601|PMID:12119386
superpathway of phosphatidic acid and phospholipid biosynthesis	phosphatidate cytidylyltransferase	2.7.7.41	CDS1	PMID:24520995|PMID:9885152|PMID:24866973
diacylglycerol and triacylglycerol biosynthesis	1-acylglycerol-3-phosphate O-acyltransferase	2.3.1.51	SLC1	PMID:16916618
L-tyrosine degradation III	alcohol dehydrogenase	1.1.1.1	ADH1	PMID:13750129|PMID:13546168|PMID:9491082|PMID:9491083
arginine degradation (aerobic)	L-glutamate gamma-semialdehyde dehydrogenase	1.2.1.88	PUT2	
phosphatidylinositol phosphate biosynthesis	1-phosphatidylinositol-4-phosphate 5-kinase	2.7.1.68	MSS4	PMID:17382260
superpathway of tetrahydrofolate biosynthesis and salvage	formate--tetrahydrofolate ligase	6.3.4.3	ADE3	PMID:8852837|PMID:10871621|PMID:2836393|PMID:1916088
superpathway of histidine, purine, and pyrimidine biosynthesis	dihydroorotase	3.5.2.3	URA4	
